Lyrics,Release date,Artist,Track
through all the heartbreak well make it feel like the first time first time  catching tears like raindrops here in the glass keep them safe in case you should ever ask or if youd like we dont need to talk about it i dont care i will wait right here by my windowsill for the sun to come if it ever will everyone says i can never get my fill but i dont care pre we wont get too sentimental not tonight i could meet you in the middle we wont fight  cause when my heart breaks it always feels like the first time first time but if you stay here we could kiss away the goodbye goodbye through all the heartbreak well make it feel like the first time first time and if you stay here we could kiss away the goodbye goodbye  looking back i followed you everywhere we were kids just playing with truth and dare lets be honest no one else can take me there but i dont care pre we wont get too sentimental not tonight i could meet you in the middle we wont fight  cause when my heart breaks it always feels like the first time first time but if you stay here we could kiss away the goodbye goodbye through all the heartbreak well make it feel like the first time first time and if you stay here we could kiss away the goodbye goodbye  dont you i hope that you want to make it up and start it over dont you i hope that you want to make it up and start it over interlude i dont really think any of this is easy feels like the first time  cause when my heart breaks it always feels like the first time first time but if you stay here we could kiss away the goodbye goodbye yeah yeah well make it feel like the first time ohohoh feels like the first time and if you stay here we could kiss away the goodbye goodbye,"March 18, 2016",Carly Rae Jepsen,First Time
i was lost alone and searchin for someone who understands me for who i really am didnt know that i was hurtin til you lift me up inside finally opened up my eyes oh pre if you wanna know what im thinkin ever since you came im livin on top of the world i cant deny every one of my fears has vanished and i dont know how you managed to wake me up and come alive  you take me higher than the rest hey oh everybody else is second best ohohohoh you pulled a gem out of a mess i was so cynical before i must confess oh you got me hiiigh hey hiiigh hey hiiigher oh you got me hiiigh hey hiiigh hey hiiigher  took some time a few mistakes but you quite didnt show me how never let me hit the ground all the love was hesitating but ever since you came around i feel more than safe and sound yeah pre if you wanna know what im thinkin ever since you came im livin on top of the world i cant deny every one of my fears has vanished and i dont know how you managed to wake me up and come alive  you take me higher than the rest hey oh everybody else is second best ohohohoh you pulled a gem out of a mess i was so cynical before i must confess oh you got me hiiigh hey hiiigh hey hiiigher oh you got me hiiigh hey hiiigh hey hiiigher  oh yeah your love hey turns me on hey gets me higher ohohohoh oh yeah your love hey takes me up hey gets me higher ohohohoh oh yeah your love hey turns me on hey gets me higher ohohohoh oh yeah your love hey takes me up hey gets me higher  you take me higher than the rest hey oh everybody else is second best ohohohoh second best second best you pulled a gem out of a mess i was so cynical before i must confess oh you got me hiiigh hey hiiigh hey hiiigher oh you got me hiiigh hey hiiigh hey hiiigher oh you got me hiiigh hey hiiigh hey hiiigher oh you got me hiiigh hey hiiigh hey hiiigher oh you got me,"August 26, 2016",Carly Rae Jepsen,Higher
knock on the door leaving it open it wasnt you why was i hoping said it before and ill say it again that ill always be here when you need a friend pre i sat with you on my bedroom floor and i couldnt move all that we were losing i saw you like i never did before i never did before  and i can feel you reaching through the cracks a simple change of seasons and youre back all the roses in the garden fade to black oohooh yeah i can feel you reaching through the cracks a simple change of heart and you attack all the roses in the garden fade to black oohooh i wont take you back  cat got your tongue its been forever have you been good have you been better ive said it before and ill say it again that ill always be here if you need a friend pre i sat with you on my bedroom floor and i couldnt move all that we were losing i saw you like i never did before i never did before  and i can feel you reaching through the cracks a simple change of seasons and youre back all the roses in the garden fade to black oohooh yeah i can feel you reaching through the cracks a simple change of heart and you attack all the roses in the garden fade to black oohooh i wont take it back  drunk on cigarettes last years silhouettes dancing in the dark love made in the park big white blossom tree baby cover me hold me left to blow please dont let me go please dont let me go  and i can feel you reaching through the cracks a simple change of seasons and youre back all the roses in the garden fade to black oohooh yeah i can feel you reaching through the cracks a simple change of heart and you attack all the roses in the garden fade to black oohooh i wont take it back  drunk on cigarettes last years silhouettes i wont take it back dancing in the dark i wont take it back love made in the park big white blossom tree i wont take it back baby cover me hold me left to blow please dont let me go,"August 26, 2016",Carly Rae Jepsen,Roses
sunlight moves upon my skin wake up and im next to you but i wish that i was next to him looks like this could be the end know that youll be alright maybe one day well be friends but you know me and pre im not that good at goodbyes sometimes its best to just fly ask where were going oh i cant talk about it cant talk about it cause  im just goin to the store to the store im just goin to the store you might not see me anymore anymore im just goin to the store im just goin to the store to the store im just goin to the store you might not see me anymore anymore im just goin to the store  dont cry i cant play pretend wish it hadnt come to this but you know theres some things you cant mend but you know me and pre im not that good at goodbyes sometimes its best to just fly ask where were going oh i cant talk about it cant talk about it cause  im just goin to the store to the store im just goin to the store you might not see me anymore anymore im just goin to the store im just goin to the store to the store im just goin to the store you might not see me anymore anymore im just goin to the store  alright im so alright this time i just wanna say im sorry i just wanna say im sorry alright im so alright this time i just wanna say im sorry i just wanna say im sorry breakdown im not that good at goodbyes sometimes its best to just fly  im just goin to the store to the store im just goin to the store you might not see me anymore anymore im just goin to the store im just goin to the store to the store im just goin to the store you might not see me anymore anymore im just goin to the store,"August 26, 2016",Carly Rae Jepsen,Store
truth is i never thought of us together youre just a friend of mine we should know better this cant last forever but kiss me one more time pre romance is fine pour me some wine tell me its just for the fun of it thoughts in your eyes hard to deny but i dont want love dont want none of it  if you want to you can stay the night i dont want to be the one the one if you want to you can hold me tight i dont want to be the one the one post its too much pressure its too much pressure its too much pressure i dont want to be the one the one  while cookin dinner i wear your socks and slippers its been a long long day its just so easy love the way you read me i never have to say pre romance is fine pour me some wine tell me its just for the fun of it thoughts in your eyes hard to deny but i dont want love dont want none of it  if you want to you can stay the night i dont want to be the one the one if you want to you can hold me tight i dont want to be the one the one post its too much pressure its too much pressure its too much pressure i dont want to be the one the one  dont fall in love fall in love fall in love fall in love dont fall in love fall in love fall in love fall in love dont fall in love fall in love fall in love fall in love dont fall in love fall in love fall in love fall in love  if you want to you can stay the night i dont want to be the one the one if you want to you can hold me tight i dont want to be the one the one post its too much pressure its too much pressure its too much pressure i dont want to be the one the one,"August 26, 2016",Carly Rae Jepsen,The One
i get to know myself every weekend and im weak  hangovers feel good when i know its the last one then i feel so good that i have another one last friday i took acid and mushrooms i did not transcend i felt like a walking piece of shit in a stupid looking jacket and i walked around town and felt like i was in sodom there were filthy people seeking comfort for their bodies it was so obscene filled with loathing and religious fervor i laid on my friends bedroom floor for an hour and tried not to piss my pants pre and then i saw jesus and he said  who are you to go against the word of my father and who are you the scum of the earth no we are just we are just we are just we are just teens of style oh we are just we are just we are just we are just teens of style  there were people getting drunk there were people getting high they were falling to pieces right before my eyes and i said mmhmm a lot mmhmm and there was one guy there who kept asking me how does it feel asking me are you sure and i didnt even know how to begin to answer that question you dont want to talk about what youre experiencing right now so i just said i dont want to talk about it and i just said no so there i was just another shitbag civilian afraid of the cops when i was outside afraid of my friends when i was inside and i grew tired of the scene pre and then my dad showed up and he was like  who are you to go against the word of our fathers it goes who are you the scum of the earth no we are just we are just we are just teens of style no we are just we are just victims of the contemporary style  yes we are just we are just we are just we are just going along with the modern styles and now everybody everybody everybodys going along with the modern style lets do it together it goes drugs are better drugs are better with friends are better friends are better with drugs are better drugs are better with friends are better friends are better with drugs are better drugs are better with friends are better friends are better with drugs are better drugs are better with friends are better friends are better with drugs are better than friends are better than drugs are better than friends are better than drugs drugs are better than friends are better than friends are better with drugs are better than drugs are better with friends are better than friends are better than drugs are better drugs are better with friends are better friends are better with drugs are better drugs are better with friends are better friends are better with,"May 20, 2016",Car Seat Headrest,(Joe Gets Kicked Out of School for Using) Drugs With Friends (But Says This Isn't a Problem)
i never thought it would happen to me but i never thought it would happen to me but  no one should ever have to look at themselves i steer clear of graveyards they are cliche in my deathobsessed generation no one should ever have to look at themselves high school teen dream dies in the hospital leaves behind a journal and a pair of air jordans lyrics of popular rock ballads changed to include his name im taking back my heart you were digging a hole for it six feet deep at the state park at the state park  i didnt want you to hear that shake in my voice my pain is my own and when the cops shook me down i cried walking home i cried walking home  you and me are connected now we were in one photograph and we dont even look happy i cant commit to a crime to commit i need to get one done for the biography because when i split the scene leave the party early what am i leaving behind me just a memory another body it aint no pair of air jordans something is ringing death is playing his xylophone ribs for me  i didnt want you to hear that shake in my voice my pain is my own and when the cops shook me down i cried walking home i cried walking home i didnt want you to hear that shake in my voice my pain is my own and when the cops shook me down i cried walking home i cried walking home  dont worry im worrying for two so dont worry baby dont worry im worrying for two so dont worry baby,"May 20, 2016",Car Seat Headrest,1937 State Park
act suspicious for me baby act suspicious for me now act suspicious for me baby act suspicious formenow act suspicious forme baby act suspicious for me now actsuspicious for me baby act suspicious for me now act suspicious for me car seat act suspicious for me now act suspicious for me car seat act suspicious for me now six weeks since i got signed everything is working out fine act suspicious act suspicious my sun was coming up i didnt expect a visit from apollos light act suspicious act suspicious act suspicious act suspicious whoa and then my voice goes out i let the door hit me on the way out act suspicious act suspicious,"May 20, 2016",Car Seat Headrest,Act Suspicious [2016]
hahahaha its all downhill from here  little boy says ill be in love with my fists little boy says ill be in love with my punches little boy says what should i do with my hands mom little boy is told not to do anything wrong pre when i die ill be taken to the constellations have a drink relax therell be some ductions this is cassiopeia this is orion this is cindy this is nathan thats chrissy and the other nathan  i know that its a lot to remember says mother i know that its a lot to remember says father i know that its a lot to remember says mother i know that its a lot to remember says father  i speak these words in utter isolation i drive the car in a line from star to stardom little boy says ill touch the heart of the nation little boy says ill punch the heart of everyone pre when i die ill be taken to the constellations have a drink relax therell be some ductions this is cassiopeia this is orion this is cindy this is nathan i just met him no thats the other nathan  i know that its a lot to remember says mother i know that its a lot to remember says father i know that its a lot to remember says mother i know that its a lot to remember says someone  you wont see who you want to see there no one will want to be in your band youll have to learn how to make it on your own spend a little time with your own hand we were heroes back home we are heroes back home heroes back home heroes back home  little boy says ill be in love with my fists and were never gonna never gonna get a job and were never gonna never gonna get a job and were never gonna never gonna get a job and were never gonna never gonna get a job fuck off teens yeah,"May 20, 2016",Car Seat Headrest,Connect the Dots (The Saga of Frank Sinatra)
if you really wanna make it last you could commit yourself completely you could lie down in the river at last and let the dread complete you and if you really dont want the pain you can disengage completely because it wasnt healthy anyways and youve got a job and a family  if you really wanna fall asleep then youll have to find some punctuation and if you wanna ride it out to the end you can tie your thoughts together and if you really wanted to be kind youd have forgiven them a long ass time ago and if you really wanna know how kind you are just ask yourself why youre lying in bed alone  i know you wish my flesh would yield i love you but i cant stand the touch and of course im alright with death but why you talk about it so goddamn much  i will go to heaven you wont go to heaven i will go to heaven i wont see you there i will go to heaven you wont go to heaven i will go to heaven i wont see you there i will go to heaven you wont go to heaven i will go to heaven i wont see you there i will go to heaven you wont go to heaven i will go to heaven i wont see you there  if you really wanna know yourself it will come at the price of knowing no one else this guy he was so high i asked my friend to punch him out can you kick his ass can you kick his ass for me  and if you really wanna make the change then you would cut yourself off completely but if you just want it to be ok it will never be ok  itll be alright itll be alright itll be alright itll be alright itll be alright itll be alright fuck itll be alright fuck itll be alright fuck you itll be alright itll be alright fuck itll be alright fuck itll be alright fuck you itll be alright itll be alright fuck itll be alright fuck itll be alright fuck you  now you gotta change addresses again if they knew where the fire was theyd put it out someones knocking on your door fire turned towards me with an open mouth and if you dont come home tonight you will never call it home again and if you need some peace and quiet there is room for all in heaven  i will go to heaven you wont go to heaven i will go to heaven i wont see you there i will go to heaven you wont go to heaven i will go to heaven i wont see you there,"May 20, 2016",Car Seat Headrest,Cosmic Hero
i am freaking out in my mind in a house that isnt mine my end goal isnt clear should not have had that last beer oh oh oh oh oh oh oh oh pre its more than what you bargained for but its a little less than what you paid for my bowties come undone my microphone hangs limp on the mic stand  tell my mother im going home i have been destroyed by hippie powers tell my mother im going home i have been destroyed by hippie powers  that guy i kinda hate is here should not have had that lastwoo hit of dmt la lalalala lalalala lalalala la lalalala lalalala lalalala pre what happened to that chubby little kid who smiled so much and loved the beach boys what happened is i killed that fucker and i took his name and i got new glasses  tell my mother im going home i have been destroyed by hippie powers tell my mother im going home i have been destroyed by hippie powers,"May 20, 2016",Car Seat Headrest,Destroyed by Hippie Powers
whats up guys you are now listening to uh car seat headrest  im so sick of fill in the blank accomplish more accomplish nothing if i were split in two i would just take my fists so i could beat up the rest of me  you have no right to be depressed you havent tried hard enough to like it havent seen enough of this world yet but it hurts it hurts it hurts it hurts well stop your whining try again no one wants to cause you pain theyre just trying to let some air in but you hold your breath you hold your breath you hold it hold my breath i hold my breath i hold it  ive known for a long time im not getting what i want out of people it took me a long time to figure out i dont know what i want so youll ask why and there will be no answer then youll ask for how long and there will be no answer then youll ask what can i do and therell be no answer and eventually you will shut up  you have no right to be depressed you havent tried hard enough to like it havent seen enough of this world yet but it hurts it hurts it hurts it hurts well stop your whining try again no one wants to cause you pain theyre just trying to let some air in but you hold your breath you hold your breath you hold it hold my breath i hold my breath i hold it  i get signs from the cops saying stay the fuck down i get signs from the audience saying stay the fuck down i get signs from god saying stay the fuck down  ive got a right to be depressed ive given every inch i had to fight it i have seen too much of this world yes and it hurts it hurts it hurts it hurts and i will never see the light so stop your whining try again that ive seen shining in your eyes no one wants to cause you pain you just want to see me naked theyre just trying to let some air in but you so ill hold my breath i hold my breath i hold it hold my breath i hold my breath i hold my breath i hold my breath i hold my breath i hold my breath i hold my breath,"October 11, 2016",Car Seat Headrest,Fill in the Blank
i saw a horse and it saw me you know their skulls are so crazy but they still can see it had big brown eyes shining and sad it was just a horse i couldnt tell if it was sad or not i held out my hand like there was something in it managed to touch it it did not seem interested then a car pulled up so i split the scene i am a tourist attraction biking down dog street,"May 20, 2016",Car Seat Headrest,Joe Goes to School
i have nothing but questions i need answers those would fill me up i know when im being catered to i know when im being catered to i will not settle for the lowest common denominator pre hello my friend weve been waiting for you for a long time we have reason to believe that your soul is just like ours did you ever get the feeling you were just a little different well heres our web page youve finally found a home  good people give good advice get a job eat an apple itll work itself out its a phase its a phase its chemistry its chemistry its your own fault its your own fault well dont listen to us were just people too  ive been waiting all my life ive been waiting for some real good porn something with meaning something fulfilling id like to make my shame count for something pre i feel so empty trying to explain this his name is william onyeabor hes from the and when i wake up in the morning there are people sleeping on my couch well ill have something to say about that one  free people give free advice let go of the pain let go of the fear but if i let go of that what will still be here will i find out that i am just people too  should i say that one more time um yeah i mean uh the intent was to sort of go back to these periods and and revisit them a little bit especially with teens of style you know with teens of denial it was sort of contemporaneous when i was writing it you know and what i was experiencing at the time and uh i guess i was just out of my teenage years when i was writing things for teens of denial i didnt really feel like anything had changed so um yeah i guess you know the two of those albums together are sort of theyre both an exploration of past feelings and how they connect to the present and what im doing in the present tense im sorry youll have to say that again the connection must be bad um can you try one more time ahh um when i was starting out i uh recorded vocals in my car sometimes uh just for the sake of privacy,"May 20, 2016",Car Seat Headrest,Not What I Needed
i used to like the mornings id survived another night id walk to breakfast through the garden see the flowers stretching in the sunlight now i wake up in the mornings and all the kindness is drained out of me i spend hours just wincing and trying to regain some sense of peace  if only i could sustain my anger feel it grow stronger and stronger it sharpens to a point and sheds my skin shakes off the weight of my sins and takes me to heaven  i stay up late every night out of some general protest but with no one to tell you to come to bed its not really a contest maybe you think ill learn from my mistake but not this time its just gonna break me  if only i could sustain my anger feel it grow stronger and stronger it sharpens to a point and sheds my skin shakes off the weight of my sins and takes me to heaven  and if ive lost you for good could there have been any other way was the water filling up for years or did i wreck it all in a day im going to bed now ive sunk into my sorrows and itll take three hundred million dollars to get me up tomorrow i wont go down with the ship i will put my hands up and surrender there will be no more flags above my door i have lost and i always will be breakdown it was an expensive mistake it was an expensive mistake my horse broke his back to get me here i have his blood on my hands for no reason but what was i supposed to do how was i supposed to know how to use a tube amp how was i supposed to know how to drive a van how was i supposed to know how to ride a bike without hurting myself how was i supposed to know how to make dinner for myself how was i supposed to know how to hold a job how was i supposed to remember to grab my backpack after i set it down to play basketball and how was i supposed to know how to not get drunk every thursday friday saturday and why not sunday how was i supposed to know how to steer this ship how was i supposed to know how to steer this ship how the hell was i supposed to steer this ship it was an expensive mistake you cant say youre sorry and its over i was given a body that is falling apart my house is falling apart and i was given a mind that cant control itself and what about the pain im in right now and i was given a ship that cant steer itself and what about a vacation and what about a vacation to feel good my horse broke his back and left me here how was i supposed to know and god wont forgive me and you wont forgive me not unless i open up my heart and how am i supposed to do that when i go to this same room every night and sleep in the same bed every night the same fucking bed red comforter with the white stripes and the yellow ceiling light that makes me feel like im dying this sea is too familiar how many nights have i drowned here how many times have i drowned how many times have i drowned  i give up i give up  let us take you back to where we came in we were united an undivided nation we got divided it was something inside us and it was not us we were so naive we were just like animals told what to believe by the beasts who took control we wanted control too but that was normal cause our life was one of survival the decisions weve made if you can call it deciding with your life on the line itd be social suicide to change your mind so we got mad and we split the scene now we download all of our shit for free its the new economy we have nothing to offer and we sleep on trash  i give up i give up  let us take you back to where you came in a man clinging to the cliff of revelation so scared of what he would find he started crying it was not me stopped at the borderline they stripped his disguise so he read a book that won a pulitzer prize it was about death it didnt help he saw himself in it and he was disturbed at the conclusions it led to but he couldnt say what because the author was dead too and so though he made fun of us he has now become one of us  i give up i give up i give up i give up i give up i give up i give up  and you wake up trembling from a dream where i swam into the river i reach out and hold you in my arms i love you i love you i love you,"May 20, 2016",Car Seat Headrest,The Ballad of the Costa Concordia
thats e hahaha one two three four  what a glorious hell we have found until i recognize the sound of my voice again for years i hadnt had a clue but suddenly i can look through your eyes again this isnt sex i dont think its just extreme empathy shes not my ex we never met but do you still think of me they say that the world is one but if the world is one how come you never come around anymore i guess its not that simple pre well everyone learns to live with their sins but girl you wear yours like a brand new skin so take it all off and let me back into your  its an unforgiving world shes not an unforgiving girl its an unforgiving world shes not an unforgiving girl  welcome to the welcome center make a uturn my phone is freaking out ill lose my shit while it reroutes but she moves and she speaks and shes on a chain that moves towards perfection baby the effects are so good these days if there were gears behind those big brown eyes i wouldnt be able to tell the difference oh girl you know you got to be forgiving in a world like this its a small world and you know you got to come see me sooner or later girl you know i know breakdown alright now listen girl yeah im only gonna say this once i just need to make something make s i just need to make sure of something and i feel like we both know it i just wanna ask were dancing right this is dancing pre well everyone learns to live with themselves and youre not the only one whos been through hell so give me a sign that im not making love to myself  its an unforgiving world but shes not an unforgiving girl its an unforgiving world but shes not an unforgiving girl  its an unforgiving world but shes not an unforgiving girl its an unforgiving world but shes not an unforgiving girl its an unforgiving world but shes not an unforgiving girl its an unforgiving world but shes not an unforgiving girl its an unforgiving world but shes not an unforgiving girl its an unforgiving world but shes not an unforgiving girl its an unforgiving world but shes not an unforgiving girl its an unforgiving world but shes not an unforgiving girl its an unforgiving world but shes not an unforgiving girl its an unforgiving world its an unforgiving world but shes not an unforgiving girl its an unforgiving world its an unforgiving world but shes not an unforgiving girl its an unforgiving world its an unforgiving world but shes shes not an unforgiving its an unforgiving world thats it i like that one i was horrible on that one fuck you,"May 20, 2016",Car Seat Headrest,Unforgiving Girl (She's Not An)
and half the time i want to go home and half the time i want to go home for the past year ive been living in a town that gets a lot of tourists in the summer months they come and they stay for a couple days but hey im living here every day i dont need the complications im just in it for the beating its almost a point of pride they say that it doesnt happen that often pure sadism pure sadism pure sadism pure sadism  i find it harder to speak when someone else is listening in the back of a medicine cabinet you can find your life story and your future in the side effects i havent played guitar in months my strings all broke they got a portrait by van gogh on the wikipedia page for clinical depression well it helps to describe it yeah it helps to describe it yeah it helps to describe it yeah it helps to describe it yeah it helps to describe it  i dont have the strength i dont have the time i poured myself a drink i told myself a lie you know ive worried you know ive tried dont you know im not strong dont you know im not kind someones getting lucky someones calling the cops someone takes me away someone make it all stop i had a bright tomorrow i spent it all today now i am silent at last now i have nothing to say now i have nothing to say  if im being honest with myself i havent been honest with myself it must be hard to speak in a foreign language intoxicado intoxicado intoxicado intoxicado intoxicado intoxicado  i find it easier to sleep and half the time i want to go home when im not holding the noise machine and half the time i want to go home and half the time im like this theyll send in matt captain trash   i dont have the time i told myself a lie you know ive tried dont you know im not kind someones calling the cops someone makes it all stop i spent it all today now i have nothing to say i dont have the strength i dont have the time i poured myself a drink i told myself a lie you know ive worried you know ive tried dont you know im not strong dont you know im not kind someones getting lucky someones calling the cops someone takes me away someone makes it all stop i had a bright tomorrow i spent it all today now i am silent at last now i have nothing to say,"February 23, 2016",Car Seat Headrest,Vincent
produced by jake one  kicked off my shoes tripped acid in the rain wore my jacket as a cape and my umbrella as a cane the richest man rocks the snatchless necklace spineless bitches in backless dresses wore my feelings on my sleeveless my weed seedless my trees leafless i miss my diagonal grilled cheeses and back when mike jackson was still jesus before i believed in not believing in yeah i inhaled who believed in me not breathing in cigarette stained smile all covered in sin my big homie died young just turned older than him i seen it happen i seen it happen i see it always he still be screaming i see his demons in empty hallways i trip to make the fall shorter fall quarter was just a tall order and im hungry im just not that thirsty as of late all my s seem not so y and all my words just mean controversy took the team up off my back like thats not your jersey stressin pullin my hair out hoping i dont get picked all this medicine in me hoping i dont get sick making all of this money hoping i dont get rich cause niggas still getting bodied for foams sometimes the truth dont rhyme sometime the lies get millions of views funerals for little girls is that appealing to you from your cubicle desktop what a beautiful view i think love is beautiful too building forts from broken dams what a hoover could do for future hoopers dead from rugers shooting through the empty alley couldve threw him an alleyoop helping him do good in school damn that acid burn when it clean ya i still miss being a senior and performing at all those open mic events eyes closed eyes closed seeing arenas and i still get jealous of vic and vics still jealous of me but if you touch my brother all that antiviolence shit goes out the window along with you and the rest of your team smoking cigarettes to look cooler i only stop by to look through ya and im only getting greedier and im still mr youmedia and i still cant find talent and im still choosing classmates that wouldnt fuck mom still thinks i should go back to school and justin still think im good enough and mama jan still dont take her meds and i still be asking god to show his face and i still be asking god to show his face  i am a new man i am sanctified oh i am holy i have been baptized i have been born again i am the white light rain rain dont go away igh,"February 22, 2013",Chance the Rapper,Acid Rain
if this is my last sh my last shit uh it definitely be mad important and it would have to sound like a prince song  still a chainsmoking name dropping good looking muhfucking motha shut your mouth still a chainsmoking name dropping good looking muhfuckin motha shut your mouth brain broken frank ocean listening stain hitting satin woodgrain gripping paint dripping motha shut your mouth  somebody pray for the god oh lord i wonder what michaels on son jammin to his shit rappin trappin trippin cid and sniffing glue and chewing vicodin shoulda died yelling yolo was a lie and you a liar wonder why you wanna die so young you and i look just alike and im afraid that this one right here might be last time that i write a song lot of niggas wanna go out with a bang but i aint tryna go out at all so i aint tryna go out at all got a lot of ideas still to throw out the door last chance joint gotta be a dance joint from an spective drugged out standpoint throw bands joint wanna hold hands joint old school for my own old man joint  still a chainsmoking name dropping good looking muhfuckin motha shut your mouth brain broken frank ocean listening stain hitting satin woodgrain gripping paint dripping motha shut your mouth  this part right here right now right here this part my shit i play this so loud in the car i forget to park my whip i lean back then spark my shit i turn up i talk my shit hope you love all of my shit i hope you love all of my shit igh  why toss my filter when she saving my life the same shit that kills us always feels so right thats why i pray to the dealer god know who he be truth be told he juiced me duced me to the lucy leaf ohohoh i seen the light i lost my lighter bic flick kick the habit and the bucket fuck your supplier lies levis on fire flyer on the wall im brighter in the darkness of the night in the sky i get higher higher  still a chainsmoking name dropping good looking muhfucker motha shut your mouth brain broken frank ocean listening stain hitting satin woodgrain gripping paint dripping motha shut your mouth  this part right here right now right here this part my shit i play this so loud in the car i forget to park my whip i lean back then spark my shit i turn up i talk my shit hope you love all of my shit i hope you love all of my shit igh  im still a chainsmoking name dropping good looking muhfuckin motha shut your mouth brain broken frank ocean listening stain hitting satin woodgrain gripping paint dripping motha shut your mouth igh,"April 30, 2013",Chance the Rapper,Chain Smoker
chance the rapper nananananananananana igh nananananananananana igh  chance the rapper cigarettes on cigarettes my mama think i stank i got burn holes in my hoodies all my homies think its dank i miss my cocoa butter kisses i miss my cocoa butter kisses cigarettes on cigarettes my mama think i stank i got burn holes in my hoodies all my homies think its dank i miss my cocoa butter kisses kisses kisses i miss my cocoa butter kisses  chance the rapper okie dokie alkie keep it lowkey like thor lil bro or hell go blow the loudy saudy of sour saudi wiley up off peyote wilin like that coyote if i sip any henny my belly just might be outie pull up inside a huggy starsky hutch a dougie i just opened up the pack in an hour ill ash my lucky tonight she just yelling fuck me two weeks shell be yelling fuck me used to like orange cassette tapes with timmy tommy and chuckie and chuck e cheeses pizzas jesus pieces sing jesus love me put visine inside my eyes so my grandma would fucking hug me oh generation above me i know you still remember me my afro look just like daddys yall taught me how to go hunting blam  chance the rapper cigarettes on cigarettes my mama think i stank i got burn holes in my hoodies all my homies think its dank i miss my cocoa butter kisses kisses kisses i miss my cocoa butter kisses cigarettes on cigarettes my mama think i stank innanet i got burn holes in my hoodies all my homies think its dank i miss my cocoa butter kisses kisses kisses i miss my cocoa butter kisses innanet kisses kisses  vic mensa i will smoke a little something but i dont inhale everywhere that i go everywhere they be asking hows it going say the goings well go figure victors light skinned jesus got me feeling like colin powell all praise to the god god knows hes a pro hes a pro like cointel check checkmate check me take me to the bedroom like she know me well i mean normally you see norma jean wouldnt kick it with farmer phil but these kids these days they get so high burn trees smoke chlorophyll til they cant feel shit shitfaced faced it hits on this l elevated train and the craziest thing got me feeling like lauryn hill miseducated my dick delegated rap bill bellamy they said i shoulda never made it probably shoulda been dead or in jail deadbeat dad enough of that jazz asshole absinthe thumpin that glass are we there yet ice cubes in a bong rip braindead take a tug and then pass  vic mensa i think we all addicted yeah i think we all addicted really though i think we all addicted yah i think we all addicted  vic mensa cigarettes on cigarettes my mama think i stank i got burn holes in my memories my homies think its dank i miss my cocoa butter kisses kisses kisses i think we all addicted kisses kisses  chance the rapper cigarettes on cigarettes my mama think i stank i got burn holes in my hoodies all my homies think its dank i miss my cocoa butter kisses kisses kisses i miss my cocoa butter kisses  twista i could make a flow pitter patter with a patter pitter juicy used to be in a jalabiya and a kufi trying hard not to be addicted to a groupie i ended up on an album cover in a coogi you see i be still a god but a goofy you be flowing about drugs and a uzi thats the dual principle sometimes ima be about some hoes sometimes ima wanna make a movie and when it come to rapping fast im the higgs boson yeah and though my style freakish i could still break your body down to five pieces like i did voltron cause im addicted to the craft and i be off a og know me im the obiwan kenobi of the dope see what never scared of mean spirits methamphetamine lyrics cooler like im off of codeine low key dont be so judgmental even though im reminiscing if i dont know what i miss is ima end up figuring out that its home and my mother and my grandmother cocoa butter kisses this is just a testament to the ones that raised me the ones that i praise and im thanking i need em but the chronic all up in my clothes and i wanna get a hug and i cant cause im stanking never too old for a spanking igh  vic mensa cigarettes on cigarettes my momma think i stank i got burn holes in my memories my homies think its dank i miss my cocoa butter kisses kisses kisses i think we all addicted kisses kisses  chance the rapper cigarettes on cigarettes my mama think i stank i got burn holes in my hoodies all my homies think its dank i miss my cocoa butter kisses kisses kisses i miss my cocoa butter kisses kisses kisses cigarettes on cigarettes my mama think i stank i got burn holes in my hoodies all my homies think its dank i miss my cocoa butter kisses i miss my cocoa butter kisses prod by cam peter cottontale click here to watch the making of the beat with cam,"April 30, 2013",Chance the Rapper,Cocoa Butter Kisses
